(Classic_white_blouse:1.6),(Tailored_black_trousers:1.5),(Gold_chain_necklace:1.4)
(Floral_summer_dress:1.5),(Strappy_sandals:1.4),(Straw_hat:1.3)
(Denim_jacket:1.4),(High-waisted_shorts:1.3),(Sneakers:1.2
(Silk_cami_top:1.5),(Flowy_maxi_skirt:1.4),(Statement_earrings:1.3)
(Off-the-shoulder_blouse:1.4),(Wide-leg_cropped_pants:1.3),(Woven_handbag:1.2)
(Striped_tee:1.5),(Denim_overalls:1.4),(White_sneakers:1.3)
(Chunky_knit_sweater:1.4),(Leather_leggings:1.3),(Oversized_scarf:1.2)
(Polka_dot_blouse:1.5),(Pleated_midi_skirt:1.4),(Pointed-toe_pumps:1.3)
(Leather_jacket:1.4),(Black_skinny_jeans:1.3),(Ankle_boots:1.2)
(Wrap_top:1.5),(Floral_printed_skirt:1.4),(Block_heel_sandals:1.3)
(Crisp_white_button-down:1.6),(Wide-leg_trousers:1.5),(Pearl_necklace:1.4)
(Boho_printed_dress:1.5),(Straw_wedge_sandals:1.4),(Beaded_bracelets:1.3)
(Leather_biker_jacket:1.4),(Distressed_jeans:1.3),(Studded_ankle_boots:1.2)
(Knit_sweater_dress:1.5),(Thigh-high_boots:1.4),(Felt_fedora_hat:1.3)
(Fitted_blazer:1.4),(Pencil_skirt:1.3),(Pointed-toe_flats:1.2)
(Romantic_lace_top:1.5),(Flowy_maxi_skirt:1.4),(Delicate_bracelet:1.3)
(Off-the-shoulder_sweater:1.4),(Distressed_jeans:1.3),(White_sneakers:1.2)
(Plaid_button-down_shirt:1.5),(Denim_skirt:1.4),(Combat_boots:1.3)
(Cashmere_sweater:1.4),(Wide-leg_trousers:1.3),(Blanket_scarf:1.2)
(Chiffon_blouse:1.5),(Pleated_culottes:1.4),(Strappy_block_heels:1.3)
(Cropped_sweater:1.4),(Mom_jeans:1.3),(Chunky_sneakers:1.2)
(Tailored_blazer:1.5),(Leather_pants:1.4),(Statement_necklace:1.3)
(Bohemian_printed_top:1.4),(Flowy_maxi_skirt:1.3),(Layered_necklaces:1.2)
(Suede_jacket:1.5),(Wide-leg_pants:1.4),(Ankle_boots:1.3)
(Wrap_dress:1.4),(Strappy_block_heels:1.3),(Tassel_earrings:1.2)
(Striped_long_sleeve_top:1.5),(Denim_shorts:1.4),(Canvas_sneakers:1.3)
(Cashmere_cardigan:1.4),(Cropped_trousers:1.3),(Leather_loafers:1.2)
(Silk_blouse:1.5),(Pleated_midi_skirt:1.4),(Pearl_earrings:1.3)
(Utility_jacket:1.4),(Cargo_pants:1.3),(Combat_boots:1.2)
(Off-the-shoulder_romper:1.5),(Straw_wedge_sandals:1.4),(Shell_necklace:1.3)
(Structured_blazer:1.4),(Cigarette_pants:1.3),(Pointed-toe_pumps:1.2)
(Boho_floral_maxi_dress:1.5),(Barefoot_sandals:1.4),(Wooden_beaded_bracelets:1.3)
(Turtleneck_sweater:1.4),(Leather_skirt:1.3),(Over-the-knee_boots:1.2)
(Striped_button-down_shirt:1.5),(Wide-leg_trousers:1.4),(Slip-on_sneakers:1.3)
(Knit_cropped_top:1.4),(High-waisted_flared_jeans:1.3),(Platform_sandals:1.2)
(Structured_blouse:1.5),(Tailored_culottes:1.4),(Chunky_heel_mules:1.3)
(Silk_slip_dress:1.4),(Suede_ankle_boots:1.3),(Layered_necklaces:1.2)
(Cropped_denim_jacket:1.5),(A-line_skirt:1.4),(White_sneakers:1.3)
(Bohemian_printed_dress:1.4),(Strappy_sandals:1.3),(Feather_earrings:1.2)
(Flowy_blouse:1.5),(Wide-leg_pants:1.4),(Espadrille_wedges:1.3)
(Knit_cardigan:1.4),(Skinny_jeans:1.3),(Ankle_boots:1.2)
(Floral_wrap_top:1.5),(Midi_skirt:1.4),(Beaded_bracelets:1.3)
(Leather_moto_jacket:1.4),(Black_leggings:1.3),(Combat_boots:1.2)
